Provinsi,year,"IPM","LamaSekolah","PendudukMiskin","AktaKelahiran","PersentaseMerokok","KonsumsiKalori","MelekHuruf","Penerangan","IDI","TeleponGenggam","AnakBekerja"
Aceh,2011,67.45,,,,,1962.62,,94.34,55.54,,
Sumatera Utara,2011,67.34,,,,,1993.59,,91.02,66.15,,
Sumatera Barat,2011,67.81,,,,,2082.06,,86.86,65.02,,
Riau,2011,68.9,,,,,2020.46,,60.99,70.65,,
Jambi,2011,66.14,,,,,1960.08,,75.72,70.46,,
Sumatera Selatan,2011,65.12,,,,,1999.53,,79.78,67.92,,
Bengkulu,2011,65.96,,,,,1988.76,,77.94,71.36,,
Lampung,2011,64.2,,,,,1967.20,,82.31,74.08,,
Kepulauan Bangka Belitung,2011,66.59,,,,,1831.20,,78.92,67.13,,
Kepulauan Riau,2011,71.61,,,,,1895.49,,87.85,70.78,,
Dki Jakarta,2011,76.98,,,,,1880.46,,99.65,77.81,,
Jawa Barat,2011,66.67,,,,,1978.76,,98.09,66.18,,
Jawa Tengah,2011,66.64,,,,,1893.82,,98.70,65.59,,
Daerah Istimewa Yogyakarta,2011,75.93,,,,,1832.26,,99.53,71.67,,
Jawa Timur,2011,66.06,,,,,1886.85,,97.61,55.98,,
Banten,2011,68.22,,,,,1987.55,,98.09,67.37,,
Bali,2011,70.87,,,,,2131.76,,97.90,74.2,,
Nusa Tenggara Barat,2011,62.14,,,,,2061.86,,86.23,54.49,,
Nusa Tenggara Timur,2011,60.24,,,,,1952.14,,44.17,72.34,,
Kalimantan Barat,2011,62.35,,,,,1960.78,,70.99,74.86,,
Kalimantan Tengah,2011,66.38,,,,,2060.51,,65.49,76.28,,
Kalimantan Selatan,2011,65.89,,,,,2104.54,,89.54,66.47,,
Kalimantan Timur,2011,72.02,,,,,1813.49,,81.02,66.37,,
Kalimantan Utara,2011,,,,,,,,,,,
Sulawesi Utara,2011,68.31,,,,,1978.53,,93.33,71.19,,
Sulawesi Tengah,2011,64.27,,,,,2014.43,,72.04,64,,
Sulawesi Selatan,2011,66.65,,,,,2078.70,,87.38,65.31,,
Sulawesi Tenggara,2011,66.52,,,,,1927.15,,75.41,57.56,,
Gorontalo,2011,63.48,,,,,1882.41,,73.97,62.77,,
Sulawesi Barat,2011,60.63,,,,,1975.05,,51.20,66.36,,
Maluku,2011,64.75,,,,,1926.86,,71.00,68.38,,
Maluku Utara,2011,63.19,,,,,1780.10,,64.30,59.17,,
Papua Barat,2011,59.9,,,,,1847.90,,62.10,61.78,,
Papua,2011,55.01,,,,,1806.23,,31.79,59.05,,
Aceh,2012,67.81,,909.04,,,1869.93,,95.20,54.02,,
Sumatera Utara,2012,67.74,,1407.25,,,1892.36,,92.82,58.51,,
Sumatera Barat,2012,68.36,,404.74,,,2023.38,,90.48,60.82,,
Riau,2012,69.15,,483.07,,,1862.37,,65.16,67,,
Jambi,2012,66.94,,271.67,,,1894.87,,81.06,68.81,,
Sumatera Selatan,2012,65.79,,1057.03,,,1925.99,,84.19,73.17,,
Bengkulu,2012,66.61,,311.66,,,1892.07,,86.79,61.7,,
Lampung,2012,64.87,,1253.83,,,1880.60,,84.01,72.26,,
Kepulauan Bangka Belitung,2012,67.21,,71.36,,,1828.31,,86.55,69.37,,
Kepulauan Riau,2012,72.36,,131.22,,,1832.21,,87.05,65.61,,
Dki Jakarta,2012,77.53,,363.2,,,1870.81,,99.82,77.72,,
Jawa Barat,2012,67.32,,4477.53,,,1815.57,,98.85,57.05,,
Jawa Tengah,2012,67.21,,4977.36,,,1805.86,,99.30,63.79,,
Daerah Istimewa Yogyakarta,2012,76.15,,565.32,,,1838.27,,99.40,72.96,,
Jawa Timur,2012,66.74,,5070.98,,,1805.56,,98.72,54.99,,
Banten,2012,68.92,,652.8,,,1897.67,,98.84,65.29,,
Bali,2012,71.62,,168.78,,,2018.83,,98.68,71.75,,
Nusa Tenggara Barat,2012,62.98,,852.64,,,2029.18,,92.37,57.97,,
Nusa Tenggara Timur,2012,60.81,,1012.52,,,1813.49,,50.36,72.67,,
Kalimantan Barat,2012,63.41,,363.31,,,1841.38,,73.91,65.38,,
Kalimantan Tengah,2012,66.66,,148.05,,,1918.08,,68.49,65.78,,
Kalimantan Selatan,2012,66.68,,189.88,,,1980.01,,92.63,61.13,,
Kalimantan Timur,2012,72.62,,253.34,,,1761.92,,81.92,71.23,,
Kalimantan Utara,2012,,,,,,,,,,,
Sulawesi Utara,2012,69.04,,189.12,,,1917.49,,95.18,76.5,,
Sulawesi Tengah,2012,65,,418.64,,,1864.43,,77.24,64.97,,
Sulawesi Selatan,2012,67.26,,825.79,,,1957.13,,89.77,68.55,,
Sulawesi Tenggara,2012,67.07,,316.33,,,1891.36,,79.07,57.26,,
Gorontalo,2012,64.16,,186.91,,,1845.55,,74.78,59.37,,
Sulawesi Barat,2012,61.01,,160.46,,,1905.39,,55.52,63.65,,
Maluku,2012,65.43,,350.23,,,1796.05,,74.25,59.68,,
Maluku Utara,2012,63.93,,91.79,,,1678.41,,69.01,66.83,,
Papua Barat,2012,60.3,,229.99,,,1696.60,,66.98,65.7,,
Papua,2012,55.55,,966.59,,,1722.31,,32.33,60.71,,
Aceh,2013,68.3,,840.71,,,1823.36,,96.19,63.56,,
Sumatera Utara,2013,68.36,,1339.16,,,1848.80,,93.37,58.8,,
Sumatera Barat,2013,68.91,,407.47,,,1893.56,,90.86,54.11,,
Riau,2013,69.91,,469.28,,,1871.37,,69.19,68.37,,
Jambi,2013,67.76,,266.15,,,1775.98,,86.07,64.41,,
Sumatera Selatan,2013,66.16,,1110.37,,,1848.17,,86.37,67.12,,
Bengkulu,2013,67.5,,327.35,,,1883.73,,89.43,59.17,,
Lampung,2013,65.73,,1163.06,,,1825.27,,87.83,63.13,,
Kepulauan Bangka Belitung,2013,67.92,,69.22,,,1779.35,,91.85,68.79,,
Kepulauan Riau,2013,73.02,,126.66,,,1915.48,,88.89,66.5,,
Dki Jakarta,2013,78.08,,354.19,,,1812.89,,99.92,71.18,,
Jawa Barat,2013,68.25,,4297.04,,,1853.87,,99.09,65.18,,
Jawa Tengah,2013,68.02,,4732.95,,,1821.33,,99.50,60.84,,
Daerah Istimewa Yogyakarta,2013,76.44,,550.2,,,1946.37,,99.61,72.36,,
Jawa Timur,2013,67.55,,4771.26,,,1795.19,,98.77,59.32,,
Banten,2013,69.47,,656.25,,,1956.01,,99.34,69.79,,
Bali,2013,72.09,,162.52,,,2056.78,,99.40,72.22,,
Nusa Tenggara Barat,2013,63.76,,830.85,,,1972.28,,95.80,57.22,,
Nusa Tenggara Timur,2013,61.68,,993.56,,,1741.23,,59.45,73.29,,
Kalimantan Barat,2013,64.3,,369.01,,,1848.04,,75.59,67.52,,
Kalimantan Tengah,2013,67.41,,136.95,,,1858.10,,72.79,64.15,,
Kalimantan Selatan,2013,67.17,,181.74,,,1954.21,,93.81,63.71,,
Kalimantan Timur,2013,73.21,,237.96,,,1698.29,,85.40,68.13,,
Kalimantan Utara,2013,67.99,,,,,,,,,,
Sulawesi Utara,2013,69.49,,184.4,,,1873.16,,96.22,73.11,,
Sulawesi Tengah,2013,65.79,,405.42,,,1892.44,,79.17,64.5,,
Sulawesi Selatan,2013,67.92,,787.66,,,1921.69,,90.51,65.2,,
Sulawesi Tenggara,2013,67.55,,301.71,,,1820.75,,82.02,52.61,,
Gorontalo,2013,64.7,,192.59,,,1730.83,,83.25,67.21,,
Sulawesi Barat,2013,61.53,,154,,,1936.78,,59.40,64.02,,
Maluku,2013,66.09,,321.84,,,1751.87,,75.70,66.23,,
Maluku Utara,2013,64.78,,83.44,,,1632.35,,73.35,64.06,,
Papua Barat,2013,60.91,,224.27,,,1645.07,,63.20,60.7,,
Papua,2013,56.25,,1017.36,,,1617.42,,35.68,60.92,,
Aceh,2014,68.81,,881.26,,,1794.04,,96.97,72.29,,
Sumatera Utara,2014,68.87,,1286.67,,,1883.81,,93.56,68.02,,
Sumatera Barat,2014,69.36,,379.2,,,1901.48,,91.96,63.99,,
Riau,2014,70.33,,499.88,,,1868.26,,74.48,68.4,,
Jambi,2014,68.24,,263.8,,,1764.53,,85.51,71.15,,
Sumatera Selatan,2014,66.75,,1100.83,,,1887.11,,88.22,74.82,,
Bengkulu,2014,68.06,,320.95,,,1876.48,,92.31,71.7,,
Lampung,2014,66.42,,1142.92,,,1750.15,,89.85,71.62,,
Kepulauan Bangka Belitung,2014,68.27,,71.64,,,1812.78,,94.63,75.32,,
Kepulauan Riau,2014,73.4,,127.8,,,1860.85,,89.18,68.39,,
Dki Jakarta,2014,78.39,,393.98,,,1918.19,,99.94,84.7,,
Jawa Barat,2014,68.8,,4327.07,,,1864.94,,99.34,71.52,,
Jawa Tengah,2014,68.78,,4836.45,,,1846.01,,99.66,77.44,,
Daerah Istimewa Yogyakarta,2014,76.81,,544.87,,,1968.87,,99.58,82.71,,
Jawa Timur,2014,68.14,,4786.79,,,1869.74,,98.77,70.36,,
